sample,mouse,timepoint,sex,treatment,batch,leftpaw,rightpaw
DES24994_29,DM04,05D,Male,SHAM,one,normal,normal
DES24994_38,DM05,05D,Male,SHAM,one,normal,normal
DES24994_46,DM07,05D,Male,SHAM,one,normal,normal
DES24994_60,DM09,05D,Male,SHAM,one,normal,normal
DES24994_7,DM01,05D,Male,SHAM,one,normal,normal
DES24994_68,DM10,05D,Male,SNI,one,sensitive,sensitive
DES24994_75,DM11,05D,Male,SNI,one,sensitive,sensitive
DES24994_82,DM12,05D,Male,SNI,one,sensitive,sensitive
DES24994_86,DM13,05D,Male,SNI,one,sensitive,normal
DES24994_94,DM15,05D,Male,SNI,one,sensitive,normal
