sample,mouse,timepoint,sex,treatment,batch,leftpaw,rightpaw
DES24994_51,DF08,05D,Female,SHAM,one,normal,normal
DES24994_64,DF10,05D,Female,SHAM,one,normal,normal
DES24994_71,DF11,05D,Female,SHAM,one,normal,normal
DES24994_78,DF12,05D,Female,SHAM,one,normal,normal
DES24994_89,DF14,05D,Female,SHAM,one,normal,normal
DES24994_8,DF02,05D,Female,SNI,one,sensitive,normal
DES24994_19,DF03,05D,Female,SNI,one,sensitive,normal
DES24994_26,DF04,05D,Female,SNI,one,sensitive,normal
DES24994_34,DF05,05D,Female,SNI,one,sensitive,sensitive
DES24994_41,DF06,05D,Female,SNI,one,sensitive,normal
DES24994_29,DM04,05D,Male,SHAM,one,normal,normal
DES24994_38,DM05,05D,Male,SHAM,one,normal,normal
DES24994_46,DM07,05D,Male,SHAM,one,normal,normal
DES24994_60,DM09,05D,Male,SHAM,one,normal,normal
DES24994_7,DM01,05D,Male,SHAM,one,normal,normal
DES24994_68,DM10,05D,Male,SNI,one,sensitive,sensitive
DES24994_75,DM11,05D,Male,SNI,one,sensitive,sensitive
DES24994_82,DM12,05D,Male,SNI,one,sensitive,sensitive
DES24994_86,DM13,05D,Male,SNI,one,sensitive,normal
DES24994_94,DM15,05D,Male,SNI,one,sensitive,normal
