"","TE","baseMean","log2FoldChange","lfcSE","pvalue","padj","signif"
"1","B1F1_4_42923666",21.9481348234852,1.02177279188133,0.338914968286665,0.000111234831392327,0.01180191284539,"Up"
"2","B1F1_4_42927421",25.8131249895107,1.13638550444606,0.291282789795204,4.61978288910083e-06,0.00136056392791306,"Up"
"3","B1F_15_81702554",25.6277221405513,0.89714472167197,0.310436861122784,0.000167153627904838,0.0153209945168899,"Up"
"4","B1F_2_11477398",60.9840582863057,-0.575000850413149,0.214623064762,0.000415005762976773,0.0257188494547225,"Down"
"5","B1F_2_30941875",28.9919657922958,0.663686202408842,0.294428208483128,0.00106558186707461,0.0440073063034375,"Up"
"6","B1F_7_113151949",29.1171410446729,0.748630516100307,0.330280430359863,0.00093479026367027,0.0416712334660953,"Up"
"7","B1F_7_33914374",31.2872164045764,0.845771276071347,0.317766405844176,0.000328371200224213,0.0221774007970977,"Up"
"8","B1F_9_26663610",67.6857922874937,0.555803737258903,0.199084044354946,0.000315718592602033,0.0216956959468896,"Up"
"9","B1F_9_74927506",25.3485313520557,0.806063204351554,0.353341539652586,0.000884847138374727,0.0410756559196433,"Up"
"10","B1F_X_102520980",128.135511484874,0.760955486190571,0.152056024680814,3.32670575567404e-08,5.74316744191664e-05,"Up"
"11","B1_Mur1_2_28338690",22.9111252210039,1.03387519079132,0.340594045317218,9.88331138604031e-05,0.0111668986824034,"Up"
"12","B1_Mur1_5_129632280",17.6368601045142,0.987169614263576,0.41313449709459,0.000617148868548756,0.0324681640457535,"Up"
"13","B1_Mur2_12_79128025",81.1273697688291,-0.508499065837541,0.174273584959662,0.000244402448589406,0.018925387883227,"Down"
"14","B1_Mur2_3_157783979",64.1872868421267,0.612489726485507,0.238448160194915,0.000527316955441367,0.0296418452041456,"Up"
"15","B1_Mur3_1_9684219",36.8699231386275,0.640519445940686,0.247411684170185,0.000486784398486819,0.0283012353359731,"Up"
"16","B1_Mur3_4_155866950",64.8158481033596,-0.792399890242461,0.192032334619444,2.10874850422808e-06,0.000901992068534699,"Down"
"17","B1_Mur4_15_76617134",22.5898661645228,0.982332978073478,0.320743449649896,9.78227304456324e-05,0.0111668986824034,"Up"
