"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(CCGGCCC)n_4_149671030",43.5131179527029,2.52170948360019,0.666793550389578,5.83420879598481e-06,0.0026155776703777
"(CCCG)n_6_143113037",52.8590989478982,2.41665363093664,0.587864900366504,1.55947529085739e-06,0.0011011455028744
"(CCG)n_12_55867644",15.4342091551219,2.29323795887382,0.451098140221526,2.20627221146395e-08,4.15426348937252e-05
"(GCCCCC)n_19_10366683",20.3234916161161,2.25458917961098,0.436652798666275,1.33561673439033e-08,3.46462677525006e-05
"(CCCCGC)n_5_16139612",15.4930991403868,2.19256941015053,0.444025481803568,4.59211052376495e-08,6.82629313859038e-05
"G-rich_15_79688799",128.368593956521,2.07861856092938,0.529067521936795,3.34017856495408e-06,0.00192530619160333
"(CTCCGC)n_8_84627181",24.5811354841534,1.9971756629615,0.37880521428699,7.3257556032379e-09,2.29898490286501e-05
"(CCCCGC)n_2_160573590",23.9424411456862,1.92245551401639,0.584040998468833,3.79081012510368e-05,0.00799012247562898
"(GCCCG)n_9_74978745",20.4213700675144,1.84696348142447,0.5956233624489,7.35479736345917e-05,0.0118046102552326
"(CCGC)n_5_16139846",44.1418846962154,1.75440401987299,0.413822063584368,9.92198802297398e-07,0.000763313673798364
"(GCC)n_17_52120153",29.3987537421967,1.74380917719927,0.535179658684229,4.22021018146613e-05,0.00848781258846649
"(CGGCG)n_9_75518431",16.4020872222734,1.73211442987615,0.450493465319425,5.68340052311991e-06,0.00258906394153224
"(GCCGCG)n_19_47167611",19.7585441669177,1.73017764462706,0.395843290728878,5.64993598937669e-07,0.000522409133443475
"(GCG)n_2_69727826",20.8524290370448,1.69785625334868,0.362355139762735,1.43409555839175e-07,0.000192879023577222
"(CCGCG)n_13_49300598",14.2423466308608,1.69134411210933,0.441169129544055,6.12059265034285e-06,0.00265953875101975
"(GCCGCGA)n_12_117497719",21.0807752371327,1.69066738071895,0.366920228899213,2.05903841984213e-07,0.000252849917956613
"(CCG)n_7_81583995",44.2189144954991,1.64905954171418,0.288459242098641,5.69687180640555e-10,5.36341491000394e-06
"RMER20C_Mm_10_83470905",14.7108897281532,1.61567192879081,0.428311564865562,7.95190449001324e-06,0.00307662452624567
"(CTGCCG)n_2_130748623",70.1174973773042,1.57970596350126,0.424901572905792,8.30294166745385e-06,0.00312677712607422
"(CGG)n_X_67722266",16.6535149178794,1.56637701344499,0.443057359500994,1.83833251591622e-05,0.0049449393885274
"(GCC)n_5_34919312",34.0523155962068,1.56106124094545,0.612437642120091,0.000344579468729033,0.0259528067060875
"MER52-int_9_103049363",19.6282069156226,1.55610020974147,0.382094666402516,2.33556947860744e-06,0.00149922328076792
"(GAAGGAGAA)n_4_152438098",16.4046972879643,1.53298270441759,0.353783333317015,7.70541094343489e-07,0.000640093019665809
