"TE","TE_fam","TE_class","signif","TE_pos","lncRNA_name","lncRNA_pos","sex"
"B1F1_4_42927421","SINE","Alu","Up","4:42927422-42927560","Gm68316-201","4:42924187-42933815","female"
"B1F_15_81702554","SINE","Alu","Up","15:81702555-81702651","Gm62928-201","15:81700361-81723228","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-204","7:113129674-113164212","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-203","7:113129674-113164218","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-205","7:113129690-113164201","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-214","7:113129691-113164173","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-215","7:113129691-113164173","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-211","7:113129691-113164183","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-212","7:113129691-113164183","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-210","7:113129691-113164185","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-209","7:113129691-113164189","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-208","7:113129691-113164193","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-206","7:113129691-113164194","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-207","7:113129691-113164194","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-213","7:113129694-113164185","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-216","7:113129694-113164201","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-202","7:113129696-113155557","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-201","7:113137233-113164194","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-217","7:113143480-113164180","female"
"B1F_7_113151949","SINE","Alu","Up","7:113151950-113152086","Far1os-218","7:113146507-113164173","female"
"B1F_X_102520980","SINE","Alu","Up","X:102520981-102521087","Tsix-201","X:102475123-102528563","female"
"B1F_X_102520980","SINE","Alu","Up","X:102520981-102521087","Tsix-203","X:102481473-102533554","female"
"B1F_X_102520980","SINE","Alu","Up","X:102520981-102521087","Tsix-204","X:102491324-102533557","female"
"B1F_X_102520980","SINE","Alu","Up","X:102520981-102521087","Tsix-202","X:102491328-102526012","female"
"B1F_X_102520980","SINE","Alu","Up","X:102520981-102521087","Tsix-205","X:102491721-102533553","female"
"B1F_X_102520980","SINE","Alu","Up","X:102520981-102521087","Xist-201","X:102503972-102526860","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-206","1:9568995-9701385","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-201","1:9630561-9701618","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-207","1:9631684-9701530","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-202","1:9633713-9701416","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-209","1:9633714-9701386","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-208","1:9633714-9701409","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-210","1:9633716-9701367","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-204","1:9670638-9701369","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-205","1:9671238-9701416","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-222","1:9671245-9697931","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-221","1:9671245-9697950","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-218","1:9671245-9701409","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-217","1:9671245-9707225","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-220","1:9671247-9701392","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-219","1:9671247-9701395","female"
"B1_Mur3_1_9684219","SINE","Alu","Up","1:9684220-9684352","2610203C22Rik-203","1:9673660-9701389","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-224","3:34250980-34736919","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-225","3:34251077-34732142","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-227","3:34466182-34732144","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-226","3:34466182-34732146","female"
"B1_Mus1_3_34731841","SINE","Alu","Down","3:34731842-34731992","Sox2ot-208","3:34466182-34736768","female"
